Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2
-0.63053776,-0.5353601,-0.850037004,-0.539400131,0.187091475,-1.591193711,0.429643304,-0.627222872,-0.661018942
-0.631193121,0.439387799,-0.38538173,-0.536726084,0.169986167,-1.591225719,0.465561782,-0.664847118,-0.465671856
-0.668876357,0.689509225,-0.340248678,-0.550096318,0.108801794,-1.607181375,0.507466673,-0.469201039,-0.508465281
-0.472923531,0.180542156,-0.509478182,-0.544748225,0.127222896,-1.497908336,0.80080091,-0.512059962,-0.483311894
-0.515849652,0.470398182,-0.377267632,-0.544748225,0.100907036,-1.225990029,0.812773736,-0.486868076,-0.568898744
-0.490618268,0.646404522,-0.567780442,-0.560792506,0.156170341,-1.13238458,0.854678627,-0.572585924,-0.619858854
-0.576470509,1.287131741,-0.393573599,-0.571488694,0.197617819,-1.116076843,0.86066504,-0.623624031,-0.550605372
-0.627588638,0.831705823,-0.433262688,-0.600903211,0.202880991,-1.132304562,0.998352539,-0.554264552,-0.649585584
-0.558120412,0.686410904,-0.517099731,-0.587532976,0.210117852,-1.155637908,1.022298191,-0.653396261,-0.749872466
-0.657407546,0.567397352,-0.347144365,-0.603577258,0.166038788,-1.147316001,1.237809059,-0.753836639,-0.615285511
-0.758005401,0.529538051,-0.492757436,-0.606251305,0.232486332,-1.147316001,0.962434061,-0.619043688,-0.630638877
-0.623001113,0.319586078,-0.289542043,-0.643687962,0.219986299,-1.147316001,1.118080799,-0.634420554,-0.699565692
-0.638402088,-0.530196232,-0.646277215,-0.667754384,0.183801993,-1.148004159,1.273727537,-0.703452866,-0.737459106
-0.707542633,-0.490461632,-0.39707329,-0.68513569,0.268012742,-1.161959357,1.363523732,-0.74140428,-0.773392517
-0.745553549,-0.148885399,-0.257085649,-0.667754384,0.308802324,-1.182075966,1.136040038,-0.777392689,-0.848852679
-0.781598384,-0.381096359,-0.410164727,-0.695831877,0.314065496,-1.152085094,0.986379713,-0.852968349,-0.812592601
-0.857292535,0.169996996,-0.26628854,-0.714550206,0.243012676,-1.101593524,1.04025743,-0.816652772,-0.894912778
-0.820920021,-0.134399393,-0.531953975,-0.735942582,0.330512908,-1.050349782,0.914542757,-0.899098946,-0.933459528
-0.903495459,0.418813865,-0.40041744,-0.757334957,0.389723591,-1.059903972,0.932501996,-0.937704694,-1.004673014
-0.942161736,0.825645074,-0.386133515,-0.757067553,0.52064499,-1.046684943,0.842705801,-1.009027178,-1.011206361
-1.013596044,0.160375896,-0.565784322,-0.786482069,0.478539616,-1.061136254,0.914542757,-1.015570525,-1.024599723
-1.02014965,0.579056821,-0.324331564,-0.788888712,0.541039781,-1.080388666,0.693045476,-1.028984387,-1.110513241
-1.033584543,0.460450942,-0.467067111,-0.799584899,0.594329396,-1.098696861,0.477534608,-1.115029402,-1.197733429
-1.119764464,0.276590088,-0.318109891,-0.806002612,0.554197711,-1.106714698,0.507466673,-1.202383086,-1.181073393
-1.207255107,-0.642360866,-0.715467403,-0.820977275,0.506829164,-1.106714698,0.375765587,-1.185697551,-1.219293475
-1.190543411,-0.01508688,-0.253248951,-0.835684533,0.523276576,-1.106698694,0.20215961,-1.223976132,-1.165393359
-1.228882008,-0.049875038,-0.18888056,-0.849322173,0.433802655,-1.115436696,0.154268306,-1.169993518,-1.117699923
-1.174814757,0.202746786,-0.270514093,-0.849856982,0.347618216,-1.161543261,0.268010153,-1.122227084,-1.099079883
-1.126973431,0.215629276,-0.109217222,-0.861087979,0.14695979,-1.233703796,0.094404177,-1.103578544,-1.150039993
-1.108295653,-0.155788675,-0.543282605,-0.876597452,0.120643931,-1.243129956,0.250050914,-1.154616652,-1.127173277
-1.159413782,0.645127144,-0.06094741,-0.907081587,0.199591508,-1.243129956,0.573317216,-1.131714937,-1.141873309
-1.13647616,0.923269344,-0.067583861,-0.920451822,0.324591839,-1.243129956,0.645154172,-1.146437468,-1.102999892
-1.151221774,0.084195264,-0.171485799,-0.925532511,0.228538953,-1.243081945,0.663113411,-1.107504553,-1.088626528
